No,Provinsi,Kab_Kota,Kecamatan,Puskesmas,Kelurahan,Bulan,Tahun,Sasaran_Balita,Balita_Bulan_Ini,Balita_Ditimbang,Pct_Balita_Ditimbang,Balita_Ditimbang_Diukur,Pct_Balita_Ditimbang_Diukur,Balita_Diukur_PB_TB,Pct_Balita_Diukur_PB_TB,Balita_Punya_KIA,Pct_Balita_Punya_KIA,Balita_Naik_BB_N,Balita_Tidak_Naik_BB_T,Balita_Tidak_Timbang_Bulan_Lalu_O,Bayi_Baru_Lahir_Bulan_Ini_B,Balita_Ditimbang_Terkoreksi_D,Pct_Balita_Ditimbang_Terkoreksi,Jml_Balita_Stunting,Pct_Balita_Stunting,Jml_Balita_Wasting,Pct_Balita_Wasting,Jml_Balita_Overweight,Pct_Balita_Overweight,Jml_Balita_Underweight,Pct_Balita_Underweight,Jml_Bayi_Dapat_IMD,Pct_Bayi_Dapat_IMD,Jml_Bayi_0_5_Bulan,Jml_Bayi_0_5_Bulan_Recall,Jml_Bayi_0_5_Bulan_ASI_Eksklusif_Recall,Pct_Bayi_0_5_Bulan_ASI_Eksklusif_Recall,Jml_Bayi_6_Bulan,Jml_Bayi_ASI_Eksklusif_6_Bulan,Pct_Bayi_ASI_Eksklusif_6_Bulan,Jml_Anak_6_23_Bulan,Jml_Anak_6_23_Bulan_Wawancara,Pct_Anak_6_23_Bulan_Wawancara,Jml_Anak_6_23_Bulan_Konsumsi_5_8_Kelompok,Pct_Anak_6_23_Bulan_Konsumsi_5_8_Kelompok,Jml_Anak_6_23_Bulan_Konsumsi_Telur_Ikan_Daging,Pct_Anak_6_23_Bulan_Konsumsi_Telur_Ikan_Daging,Jml_Anak_6_23_Bulan_MPASI_Baik,Pct_Anak_6_23_Bulan_MPASI_Baik,Jml_Bayi_6_11_Bulan,Jml_Bayi_6_11_Bulan_Vitamin_A,Pct_Bayi_6_11_Bulan_Vitamin_A,Jml_Anak_12_59_Bulan,Jml_Anak_12_59_Bulan_Vitamin_A,Pct_Anak_12_59_Bulan_Vitamin_A,Jml_Anak_12_59_Bulan_Vitamin_A_2x,Jml_Balita_Underweight_Total,Jml_Balita_Suplemen_Gizi_Mikro,Jml_Balita_Gizi_Kurang_6_59_Bulan,Jml_Balita_Gizi_Kurang_6_59_Bulan_MT_Lokal,Pct_Balita_Gizi_Kurang_MT_Lokal,Jml_Balita_BB_Kurang_6_59_Bulan,Jml_Balita_BB_Kurang_6_59_Bulan_MT_Lokal,Pct_Balita_BB_Kurang_MT_Lokal,Jml_Balita_BB_Tidak_Naik_6_59_Bulan,Jml_Balita_BB_Tidak_Naik_6_59_Bulan_MT_Lokal,Pct_Balita_BB_Tidak_Naik_MT_Lokal,Jml_Gizi_Buruk_Bayi_0_5_Bulan,Jml_Gizi_Buruk_Bayi_0_5_Bulan_Perawatan,Pct_Gizi_Buruk_Bayi_0_5_Bulan_Perawatan,Jml_Gizi_Buruk_Balita_6_59_Bulan,Jml_Gizi_Buruk_Balita_6_59_Bulan_Perawatan,Pct_Gizi_Buruk_Balita_6_59_Bulan_Perawatan,Jml_Balita_Stunting_Total,Jml_Balita_Stunting_Rujuk_PKM_RS,Pct_Balita_Stunting_Rujuk_PKM_RS,Waktu_Input
138,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG SELATAN,BONTANG SELATAN I,Tanjung Laut,Maret,2025,1537,942,404,42.89,404, 42.89 ,404, 42.89 ,942, 100.00 ,182,172,48,2,354, 51.41 ,87, 21.53 ,33, 8.17 ,21, 5.02 ,68, 16.83 ,2,100,0,0,0,0,13,2, 15.38 ,257,229, 89.11 ,227, 99.13 ,228, 99.56 ,227, 99.13 ,0,0,0,0,0,0,0,109,43,33,0,0,40,0,0,118,0,0,0,0,0,0,0,0,133,0,0,19/12/2025 15:29
139,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG SELATAN,BONTANG SELATAN I,TANJUNG LAUT INDAH,Maret,2025,1324,1018,233,22.89,233, 22.89 ,233, 22.89 ,1018, 100.00 ,102,81,49,1,183, 55.74 ,66, 28.33 ,16, 6.87 ,2, 0.86 ,50, 21.46 ,1,100,0,0,0,0,12,5, 41.67 ,274,234, 85.40 ,232, 99.15 ,232, 99.15 ,232, 99.15 ,0,0,0,0,0,0,0,104,50,28,0,0,30,0,0,47,0,0,0,0,0,0,0,0,123,0,0,19/12/2025 15:30
140,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG SELATAN,BONTANG SELATAN II,BEREBAS PANTAI,Maret,2025,949,599,240,40.07,240, 40.07 ,240, 40.07 ,596, 99.50 ,110,122,4,13,232, 47.41 ,59, 24.58 ,18, 7.50 ,5, 2.08 ,36, 15.00 ,12,92.31,0,0,0,0,11,4, 36.36 ,159,77, 48.43 ,70, 90.91 ,75, 97.40 ,70, 90.91 ,0,0,0,0,0,0,0,79,42,36,0,0,23,0,0,87,0,0,0,0,0,0,0,0,127,0,0,18/11/2025 22:17
141,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG SELATAN,BONTANG SELATAN II,BEREBAS TENGAH,Maret,2025,1532,776,256,32.99,256, 32.99 ,256, 32.99 ,773, 99.61 ,120,130,0,11,250, 48.00 ,54, 21.09 ,14, 5.47 ,7, 2.73 ,35, 13.67 ,11,100,0,0,0,0,9,5, 55.56 ,220,105, 47.73 ,85, 80.95 ,99, 94.29 ,85, 80.95 ,0,0,0,0,0,0,0,117,25,39,0,0,20,0,0,91,0,0,0,0,0,3,3,100,232,5,2.16,18/11/2025 22:16
142,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA I,BONTANG KUALA,Maret,2025,457,352,310,88.07,310, 88.07 ,310, 88.07 ,352, 100.00 ,171,126,12,1,297, 57.58 ,50, 16.13 ,14, 4.52 ,6, 1.94 ,30, 9.68 ,1,100,0,0,0,0,2,0, -   ,108,108, 100.00 ,108, 100.00 ,108, 100.00 ,108, 100.00 ,0,0,0,0,0,0,0,8,0,17,0,0,21,0,0,97,0,0,0,0,0,0,0,0,46,0,0,19/01/2026 23:52
143,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA I,BONTANG BARU,Maret,2025,1130,577,516,89.43,516, 89.43 ,516, 89.43 ,576, 99.83 ,236,242,36,2,478, 49.37 ,86, 16.67 ,27, 5.23 ,25, 4.84 ,55, 10.66 ,2,100,0,0,0,0,7,1, 14.29 ,183,182, 99.45 ,174, 95.60 ,172, 94.51 ,171, 93.96 ,0,0,0,0,0,0,0,11,0,28,0,0,32,0,0,193,0,0,0,0,0,0,0,0,86,0,0,19/1/2026 23:56
144,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA I,API-API,Maret,2025,1599,851,457,53.70,457, 53.70 ,457, 53.70 ,851, 100.00 ,164,242,50,1,406, 40.39 ,84, 18.38 ,17, 3.72 ,22, 4.81 ,42, 9.19 ,1,100,0,0,0,0,13,6, 46.15 ,273,273, 100.00 ,273, 100.00 ,272, 99.63 ,272, 99.63 ,0,0,0,0,0,0,0,16,0,27,0,0,28,0,0,199,0,0,0,0,0,0,0,0,92,0,0,19/1/2026 23:58
145,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA I,GUNUNG ELAI,Maret,2025,1535,762,605,79.40,605, 79.40 ,605, 79.40 ,761, 99.87 ,291,294,20,0,585, 49.74 ,58, 9.59 ,29, 4.79 ,18, 2.98 ,41, 6.78 ,0,0,0,0,0,0,10,1, 10.00 ,283,283, 100.00 ,280, 98.94 ,280, 98.94 ,280, 98.94 ,0,0,0,0,0,0,0,13,0,29,0,0,23,0,0,245,0,0,0,0,0,0,0,0,69,0,0,20/1/2026 0:08
146,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA II,LOK TUAN,Maret,2025,1996,1285,610,47.47,610, 47.47 ,610, 47.47 ,1285, 100.00 ,306,304,0,0,610, 50.16 ,129, 21.15 ,51, 8.36 ,16, 2.62 ,105, 17.21 ,0,0,0,0,0,0,22,17, 77.27 ,408,275, 67.40 ,184, 66.91 ,260, 94.55 ,183, 66.55 ,0,0,0,0,0,0,0,161,25,61,0,0,67,0,0,212,0,0,0,0,0,1,1,100,295,1,0.34,19/01/2026 10:18
147,KALIMANTAN TIMUR,KOTA BONTANG,BONTANG UTARA,BONTANG UTARA II,GUNTUNG,Maret,2025,466,679,213,31.37,213, 31.37 ,213, 31.37 ,679, 100.00 ,111,99,3,0,210, 52.86 ,51, 23.94 ,19, 8.92 ,14, 6.57 ,41, 19.25 ,0,0,0,0,0,0,3,3, 100.00 ,167,142, 85.03 ,86, 60.56 ,135, 95.07 ,84, 59.15 ,0,0,0,0,0,0,0,51,15,21,0,0,25,0,0,59,0,0,0,0,0,1,1,100,91,0,0,19/12/2025 6:59
